,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Identifier_cat,Outlet_Identifier_cat
65,266,17.7,Low Fat,13,185.4266,0,1998,High,Tier 3,Grocery Store,184.4266,FDC46,OUT010
66,441,19.35,Low Fat,10,172.5738,6,2004,Small,Tier 2,Supermarket Type1,4865.6664,FDH19,OUT035
67,1218,13.65,Regular,4,186.024,7,2002,High,Tier 2,Supermarket Type1,1118.544,FDZ03,OUT045
68,72,17.6,Low Fat,14,164.8526,7,2002,High,Tier 2,Supermarket Type1,2302.3364,DRH37,OUT045
69,1343,8.645,Low Fat,8,95.841,8,1997,Small,Tier 1,Supermarket Type1,2027.361,NCI17,OUT046
70,541,15.6,Regular,13,170.1764,8,1997,Small,Tier 1,Supermarket Type1,3435.528,FDJ58,OUT046
71,586,15.85,Regular,0,59.222,1,1987,High,Tier 3,Supermarket Type1,599.22,FDL12,OUT013
72,453,18.25,Low Fat,15,164.7526,7,2002,High,Tier 2,Supermarket Type1,4604.6728,FDH35,OUT045
73,394,7.855,Low Fat,3,189.6188,2,2007,High,Tier 2,Supermarket Type1,2285.0256,FDG02,OUT017
74,1552,7.825,Low Fat,9,254.3698,9,1999,Medium,Tier 1,Supermarket Type1,5580.7356,NCZ18,OUT049
75,254,8.39,Regular,5,114.0176,8,1997,Small,Tier 1,Supermarket Type1,2290.352,FDC29,OUT046
76,781,12.85,Low Fat,13,172.3422,9,1999,Medium,Tier 1,Supermarket Type1,1207.0954,FDQ10,OUT049
77,682,12.857645184136183,Low Fat,0,89.9804,4,1985,Small,Tier 1,Grocery Store,643.1628,FDN48,OUT019
78,582,19.0,Low Fat,5,104.9622,2,2007,High,Tier 2,Supermarket Type1,1587.933,FDL04,OUT017
79,1037,5.905,Low Fat,3,222.5456,7,2002,High,Tier 2,Supermarket Type1,5305.0944,FDV25,OUT045
80,316,7.76,Low Fat,13,101.87,8,1997,Small,Tier 1,Supermarket Type1,1697.79,FDD58,OUT046
81,656,11.8,Regular,5,180.3344,8,1997,Small,Tier 1,Supermarket Type1,1427.4752,FDN04,OUT046
82,1053,16.75,Low Fat,13,187.9556,3,2009,Medium,Tier 3,Supermarket Type2,4693.89,FDV45,OUT018
83,1379,12.857645184136183,Low Fat,9,194.6136,4,1985,Small,Tier 1,Grocery Store,583.2408,NCL18,OUT019
84,829,12.857645184136183,Regular,0,171.3764,5,1985,Medium,Tier 3,Supermarket Type3,3091.9752,FDR12,OUT027
85,404,15.5,Regular,6,177.0028,2,2007,High,Tier 2,Supermarket Type1,2479.4392,FDG20,OUT017
86,1258,6.055,Low Fat,6,160.992,6,2004,Small,Tier 2,Supermarket Type1,2716.464,FDZ55,OUT035
87,811,12.857645184136183,Regular,2,155.963,5,1985,Medium,Tier 3,Supermarket Type3,3285.723,FDQ49,OUT027
88,674,6.305,Regular,13,95.6436,8,1997,Small,Tier 1,Supermarket Type1,661.8052,FDN33,OUT046
89,670,20.85,Low Fat,10,117.2808,9,1999,Medium,Tier 1,Supermarket Type1,1523.3504,FDN27,OUT049
90,1082,20.75,Low Fat,6,122.173,0,1998,High,Tier 3,Grocery Store,369.519,FDW20,OUT010
91,57,8.895,Low Fat,4,39.9138,9,1999,Medium,Tier 1,Supermarket Type1,690.4346,DRG27,OUT049
92,82,19.6,Low Fat,14,55.1614,7,2002,High,Tier 2,Supermarket Type1,1381.535,DRI25,OUT045
93,178,19.7,Low Fat,6,57.893,6,2004,Small,Tier 2,Supermarket Type1,622.523,FDA44,OUT035
94,1468,9.8,Low Fat,8,114.5492,6,2004,Small,Tier 2,Supermarket Type1,1274.3412,NCR17,OUT035
95,970,12.857645184136183,Low Fat,5,120.0414,4,1985,Small,Tier 1,Grocery Store,487.3656,FDU04,OUT019
96,382,12.15,Low Fat,5,246.046,9,1999,Medium,Tier 1,Supermarket Type1,1231.73,FDF41,OUT049
97,231,8.75,Regular,6,187.4556,6,2004,Small,Tier 2,Supermarket Type1,3755.112,FDB56,OUT035
98,1442,12.857645184136183,Low Fat,9,149.9708,5,1985,Medium,Tier 3,Supermarket Type3,4363.6532,NCP18,OUT027
99,231,8.75,Regular,6,187.8556,8,1997,Small,Tier 1,Supermarket Type1,1314.2892,FDB56,OUT046
100,940,13.3,Low Fat,5,151.0708,7,2002,High,Tier 2,Supermarket Type1,1805.6496,FDT28,OUT045
101,284,12.857645184136183,Regular,13,178.5344,5,1985,Medium,Tier 3,Supermarket Type3,2854.9504,FDD10,OUT027
102,1113,8.31,Regular,13,179.1028,9,1999,Medium,Tier 1,Supermarket Type1,3896.2616,FDW57,OUT049
103,7,16.75,Regular,14,38.7822,1,1987,High,Tier 3,Supermarket Type1,667.7974,DRB48,OUT013
104,737,19.75,Low Fat,13,212.0902,3,2009,Medium,Tier 3,Supermarket Type2,3185.853,FDP09,OUT018
105,438,17.1,Regular,3,141.1838,1,1987,High,Tier 3,Supermarket Type1,2247.7408,FDH14,OUT013
106,181,10.5,Regular,0,163.121,1,1987,High,Tier 3,Supermarket Type1,1794.331,FDA47,OUT013
107,400,6.635,Regular,0,121.3098,7,2002,High,Tier 2,Supermarket Type1,2530.7058,FDG12,OUT045
108,36,12.857645184136183,Low Fat,14,225.372,4,1985,Small,Tier 1,Grocery Store,679.116,DRE60,OUT019
109,111,14.15,Low Fat,14,41.4138,1,1987,High,Tier 3,Supermarket Type1,812.276,DRK49,OUT013
110,279,13.3,Low Fat,4,232.53,8,1997,Small,Tier 1,Supermarket Type1,699.09,FDD03,OUT046
111,910,8.89,Low Fat,5,102.4016,2,2007,High,Tier 2,Supermarket Type1,2732.4432,FDS52,OUT017
112,1099,12.857645184136183,Regular,10,176.937,4,1985,Small,Tier 1,Grocery Store,176.437,FDW39,OUT019
113,1144,12.857645184136183,Low Fat,13,121.7098,5,1985,Medium,Tier 3,Supermarket Type3,4097.3332,FDX34,OUT027
114,1025,9.1,Regular,1,173.2054,7,2002,High,Tier 2,Supermarket Type1,3151.8972,FDV11,OUT045
115,288,7.5,Low Fat,5,239.0906,9,1999,Medium,Tier 1,Supermarket Type1,5942.265,FDD17,OUT049
116,1228,16.85,Regular,5,192.4478,2,2007,High,Tier 2,Supermarket Type1,4843.695,FDZ16,OUT017
117,1251,7.485,Low Fat,13,109.0228,6,2004,Small,Tier 2,Supermarket Type1,2542.0244,FDZ46,OUT035
118,0,11.6,Low Fat,14,140.3154,2,2007,High,Tier 2,Supermarket Type1,2552.6772,DRA12,OUT017
119,1213,11.65,Low Fat,13,227.0694,3,2009,Medium,Tier 3,Supermarket Type2,1141.847,FDY58,OUT018
120,1317,13.0,Low Fat,9,47.5034,2,2007,High,Tier 2,Supermarket Type1,680.4476,NCF19,OUT017
121,91,12.65,Low Fat,14,159.0578,7,2002,High,Tier 2,Supermarket Type1,2085.9514,DRJ13,OUT045
122,200,20.25,Regular,3,92.512,0,1998,High,Tier 3,Grocery Store,186.424,FDB14,OUT010
123,528,8.6,Regular,3,190.153,6,2004,Small,Tier 2,Supermarket Type1,3036.048,FDJ38,OUT035
124,1075,12.6,Low Fat,1,62.7194,2,2007,High,Tier 2,Supermarket Type1,866.8716,FDW11,OUT017
125,605,17.7,Low Fat,5,95.041,6,2004,Small,Tier 2,Supermarket Type1,868.869,FDL40,OUT035
126,86,14.15,Low Fat,14,82.4276,8,1997,Small,Tier 1,Supermarket Type1,1137.1864,DRI49,OUT046
127,1048,19.25,Low Fat,4,52.7956,2,2007,High,Tier 2,Supermarket Type1,928.1252,FDV38,OUT017
128,55,8.88,Low Fat,7,151.7682,1,1987,High,Tier 3,Supermarket Type1,762.341,DRG23,OUT013
129,1444,20.5,Low Fat,9,40.2822,7,2002,High,Tier 2,Supermarket Type1,707.0796,NCP30,OUT045
130,1186,12.857645184136183,Low Fat,3,180.5976,5,1985,Medium,Tier 3,Supermarket Type3,7968.2944,FDY25,OUT027
131,1340,13.5,Low Fat,9,160.292,8,1997,Small,Tier 1,Supermarket Type1,1438.128,NCH54,OUT046
132,1476,12.857645184136183,Low Fat,8,224.4404,5,1985,Medium,Tier 3,Supermarket Type3,6976.2524,NCR53,OUT027
133,910,8.89,Low Fat,5,101.7016,0,1998,High,Tier 3,Grocery Store,101.2016,FDS52,OUT010
134,394,7.855,Low Fat,3,188.5188,3,2009,Medium,Tier 3,Supermarket Type2,952.094,FDG02,OUT018
135,1428,7.235,Low Fat,9,116.0492,8,1997,Small,Tier 1,Supermarket Type1,1969.4364,NCO26,OUT046
136,453,12.857645184136183,Low Fat,15,165.4526,5,1985,Medium,Tier 3,Supermarket Type3,5262.4832,FDH35,OUT027
137,228,6.92,Low Fat,4,60.5852,7,2002,High,Tier 2,Supermarket Type1,1314.2892,FDB51,OUT045
138,1152,9.3,Low Fat,6,90.8172,2,2007,High,Tier 2,Supermarket Type1,535.3032,FDX44,OUT017
139,1407,18.5,Low Fat,11,132.1284,0,1998,High,Tier 3,Grocery Store,263.6568,NCN07,OUT010
140,1289,8.02,Low Fat,9,154.5972,6,2004,Small,Tier 2,Supermarket Type1,1402.1748,NCC31,OUT035
141,1538,9.195,Low Fat,9,105.1622,2,2007,High,Tier 2,Supermarket Type1,1693.7952,NCX54,OUT017
142,1436,12.8,Low Fat,11,105.5938,7,2002,High,Tier 2,Supermarket Type1,2143.876,NCO55,OUT045
143,1288,16.6,Low Fat,9,177.6344,9,1999,Medium,Tier 1,Supermarket Type1,2676.516,NCC30,OUT049
144,479,14.0,Regular,5,53.064,6,2004,Small,Tier 2,Supermarket Type1,905.488,FDI16,OUT035
145,743,18.6,Low Fat,5,246.3802,9,1999,Medium,Tier 1,Supermarket Type1,7370.406,FDP16,OUT049
146,198,16.0,Low Fat,15,226.8404,6,2004,Small,Tier 2,Supermarket Type1,6301.1312,FDB11,OUT035
147,1274,17.6,Low Fat,8,160.692,6,2004,Small,Tier 2,Supermarket Type1,1597.92,NCB06,OUT035
148,179,21.25,Low Fat,13,178.237,6,2004,Small,Tier 2,Supermarket Type1,529.311,FDA45,OUT035
149,1428,7.235,Low Fat,9,117.5492,6,2004,Small,Tier 2,Supermarket Type1,1969.4364,NCO26,OUT035
150,94,14.6,Low Fat,14,50.3692,2,2007,High,Tier 2,Supermarket Type1,1034.6532,DRJ25,OUT017
151,843,13.85,Regular,5,161.521,3,2009,Medium,Tier 3,Supermarket Type2,1794.331,FDR28,OUT018
152,470,13.65,Regular,5,197.6426,3,2009,Medium,Tier 3,Supermarket Type2,2768.3964,FDI04,OUT018
153,104,12.857645184136183,Low Fat,14,31.29,5,1985,Medium,Tier 3,Supermarket Type3,898.83,DRK12,OUT027
154,1132,7.365,Low Fat,6,226.172,8,1997,Small,Tier 1,Supermarket Type1,3169.208,FDX20,OUT046
155,1344,18.35,Low Fat,9,223.5746,3,2009,Medium,Tier 3,Supermarket Type2,3589.9936,NCI18,OUT018
156,216,5.465,Regular,0,132.5626,3,2009,Medium,Tier 3,Supermarket Type2,262.3252,FDB36,OUT018
157,661,18.6,Low Fat,2,99.8358,2,2007,High,Tier 2,Supermarket Type1,1910.1802,FDN13,OUT017
158,20,13.85,Low Fat,14,140.9154,2,2007,High,Tier 2,Supermarket Type1,1701.7848,DRD24,OUT017
159,797,14.0,Regular,5,154.5656,1,1987,High,Tier 3,Supermarket Type1,2471.4496,FDQ28,OUT013
160,631,14.0,Regular,13,54.764,1,1987,High,Tier 3,Supermarket Type1,1331.6,FDM22,OUT013
161,824,12.857645184136183,Low Fat,6,97.0094,5,1985,Medium,Tier 3,Supermarket Type3,1808.9786,FDR07,OUT027
162,1037,5.905,Low Fat,3,222.5456,3,2009,Medium,Tier 3,Supermarket Type2,3315.684,FDV25,OUT018
163,47,7.27,Low Fat,14,114.2518,8,1997,Small,Tier 1,Supermarket Type1,2618.5914,DRF49,OUT046
164,1109,6.155,Regular,10,214.556,8,1997,Small,Tier 1,Supermarket Type1,2769.728,FDW51,OUT046
165,113,19.5,Regular,14,233.4958,2,2007,High,Tier 2,Supermarket Type1,5375.0034,DRL01,OUT017
166,750,15.2,Low Fat,3,216.8824,2,2007,High,Tier 2,Supermarket Type1,2838.9712,FDP25,OUT017
167,611,12.15,Regular,3,125.0046,3,2009,Medium,Tier 3,Supermarket Type2,1743.0644,FDL50,OUT018
168,1278,12.857645184136183,Low Fat,9,198.8084,5,1985,Medium,Tier 3,Supermarket Type3,5555.4352,NCB30,OUT027
169,1075,12.6,Low Fat,1,61.9194,3,2009,Medium,Tier 3,Supermarket Type2,619.194,FDW11,OUT018
170,1401,14.5,Low Fat,11,164.821,6,2004,Small,Tier 2,Supermarket Type1,2120.573,NCM43,OUT035
171,568,16.6,Low Fat,6,173.0738,2,2007,High,Tier 2,Supermarket Type1,3823.0236,FDK44,OUT017
172,627,11.8,Regular,10,151.4366,1,1987,High,Tier 3,Supermarket Type1,1360.2294,FDM15,OUT013
173,892,13.1,Regular,6,178.8318,1,1987,High,Tier 3,Supermarket Type1,3969.4996,FDS31,OUT013
174,488,17.7,Low Fat,6,115.1834,0,1998,High,Tier 3,Grocery Store,345.5502,FDI32,OUT010
175,857,17.85,Low Fat,1,196.5794,0,1998,High,Tier 3,Grocery Store,585.2382,FDR47,OUT010
176,215,12.3,Regular,15,92.6804,7,2002,High,Tier 2,Supermarket Type1,1010.6844,FDB35,OUT045
177,1499,11.8,Low Fat,8,81.4618,0,1998,High,Tier 3,Grocery Store,161.1236,NCU05,OUT010
178,142,12.857645184136183,Regular,14,42.1112,4,1985,Small,Tier 1,Grocery Store,42.6112,DRY23,OUT019
179,707,11.1,Low Fat,0,157.4604,7,2002,High,Tier 2,Supermarket Type1,3010.7476,FDO24,OUT045
180,797,12.857645184136183,Regular,5,153.0656,5,1985,Medium,Tier 3,Supermarket Type3,6024.1584,FDQ28,OUT027
181,1049,11.3,Low Fat,10,198.1426,7,2002,High,Tier 2,Supermarket Type1,988.713,FDV39,OUT045
182,1426,12.857645184136183,Low Fat,8,117.944,4,1985,Small,Tier 1,Grocery Store,239.688,NCO17,OUT019
183,1008,5.75,Regular,4,112.8176,1,1987,High,Tier 3,Supermarket Type1,1374.2112,FDU50,OUT013
184,926,12.857645184136183,Regular,0,226.8062,5,1985,Medium,Tier 3,Supermarket Type3,4739.8302,FDT12,OUT027
185,578,11.35,Regular,13,100.0016,3,2009,Medium,Tier 3,Supermarket Type2,1012.016,FDK58,OUT018
186,694,12.857645184136183,Regular,6,165.7526,4,1985,Small,Tier 1,Grocery Store,657.8104,FDO08,OUT019
187,1523,14.0,Low Fat,8,130.431,9,1999,Medium,Tier 1,Supermarket Type1,778.986,NCW29,OUT049
188,319,19.75,Regular,5,179.766,7,2002,High,Tier 2,Supermarket Type1,2336.958,FDE04,OUT045
189,1277,6.525,Low Fat,9,85.0882,9,1999,Medium,Tier 1,Supermarket Type1,2233.0932,NCB19,OUT049
190,1029,10.3,Low Fat,10,103.9648,9,1999,Medium,Tier 1,Supermarket Type1,1661.8368,FDV15,OUT049
191,616,5.78,Regular,13,264.7568,9,1999,Medium,Tier 1,Supermarket Type1,4745.8224,FDL58,OUT049
192,150,11.85,Regular,6,164.1526,7,2002,High,Tier 2,Supermarket Type1,3124.5994,FDA08,OUT045
193,951,16.35,Low Fat,6,50.1324,3,2009,Medium,Tier 3,Supermarket Type2,467.3916,FDT43,OUT018
194,1530,12.857645184136183,Low Fat,9,182.5976,5,1985,Medium,Tier 3,Supermarket Type3,5070.7328,NCX06,OUT027
195,932,10.5,Low Fat,6,37.6164,8,1997,Small,Tier 1,Supermarket Type1,540.6296,FDT20,OUT046
196,221,19.0,Regular,5,48.0718,8,1997,Small,Tier 1,Supermarket Type1,992.7078,FDB41,OUT046
197,1420,14.6,Low Fat,11,238.8538,9,1999,Medium,Tier 1,Supermarket Type1,6008.845,NCN55,OUT049
198,343,12.857645184136183,Regular,4,62.9194,5,1985,Medium,Tier 3,Supermarket Type3,2105.2596,FDE40,OUT027
199,1157,12.857645184136183,Regular,3,232.63,5,1985,Medium,Tier 3,Supermarket Type3,5359.69,FDX49,OUT027
200,1402,18.75,Low Fat,8,104.628,7,2002,High,Tier 2,Supermarket Type1,745.696,NCM53,OUT045
201,340,5.26,Regular,0,161.8868,6,2004,Small,Tier 2,Supermarket Type1,3275.736,FDE36,OUT035
202,688,18.25,Low Fat,13,140.2154,7,2002,High,Tier 2,Supermarket Type1,1701.7848,FDN57,OUT045
203,484,12.857645184136183,Low Fat,0,177.937,5,1985,Medium,Tier 3,Supermarket Type3,6704.606,FDI24,OUT027
204,480,15.1,Low Fat,10,242.7512,8,1997,Small,Tier 1,Supermarket Type1,4119.9704,FDI19,OUT046
205,371,15.5,Regular,0,81.5934,0,1998,High,Tier 3,Grocery Store,327.5736,FDF24,OUT010
206,424,13.65,Low Fat,5,45.7402,9,1999,Medium,Tier 1,Supermarket Type1,780.9834,FDG52,OUT049
207,44,16.1,Low Fat,14,189.3846,7,2002,High,Tier 2,Supermarket Type1,3630.6074,DRF36,OUT045
208,903,12.857645184136183,Regular,13,107.3622,4,1985,Small,Tier 1,Grocery Store,317.5866,FDS45,OUT019
209,1150,12.85,Low Fat,5,39.7164,0,1998,High,Tier 3,Grocery Store,231.6984,FDX40,OUT010
210,104,9.5,Low Fat,14,32.99,6,2004,Small,Tier 2,Supermarket Type1,133.16,DRK12,OUT035
211,13,13.8,Low Fat,4,245.1802,6,2004,Small,Tier 2,Supermarket Type1,5650.6446,DRC27,OUT035
212,616,5.78,Regular,13,263.7568,2,2007,High,Tier 2,Supermarket Type1,2636.568,FDL58,OUT017
213,1298,19.7,Low Fat,9,96.0726,7,2002,High,Tier 2,Supermarket Type1,1272.3438,NCD30,OUT045
214,1558,14.65,Low Fat,9,161.5552,0,1998,High,Tier 3,Grocery Store,324.9104,NCZ54,OUT010
215,323,6.67,Regular,13,130.0626,0,1998,High,Tier 3,Grocery Store,131.1626,FDE10,OUT010
216,854,6.11,Regular,6,131.2968,0,1998,High,Tier 3,Grocery Store,260.9936,FDR44,OUT010
217,753,13.65,Regular,5,260.0936,0,1998,High,Tier 3,Grocery Store,260.9936,FDP28,OUT010
218,1129,17.2,Low Fat,10,160.6578,1,1987,High,Tier 3,Supermarket Type1,3690.5294,FDX15,OUT013
219,175,6.32,Low Fat,10,40.2822,6,2004,Small,Tier 2,Supermarket Type1,1139.1838,FDA39,OUT035
220,1185,4.88,Regular,0,52.9298,9,1999,Medium,Tier 1,Supermarket Type1,1995.4026,FDY24,OUT049
221,277,5.425,Regular,0,88.3514,2,2007,High,Tier 2,Supermarket Type1,1416.8224,FDC60,OUT017
222,448,15.85,Regular,5,37.2506,8,1997,Small,Tier 1,Supermarket Type1,265.6542,FDH28,OUT046
223,937,7.5,Low Fat,3,121.7072,2,2007,High,Tier 2,Supermarket Type1,3552.7088,FDT25,OUT017
224,91,12.65,Low Fat,14,161.5578,1,1987,High,Tier 3,Supermarket Type1,2406.867,DRJ13,OUT013
225,1424,12.857645184136183,Low Fat,11,211.956,4,1985,Small,Tier 1,Grocery Store,213.056,NCO07,OUT019
226,1082,20.75,Low Fat,6,124.173,1,1987,High,Tier 3,Supermarket Type1,2956.152,FDW20,OUT013
227,43,12.857645184136183,Low Fat,4,152.134,4,1985,Small,Tier 1,Grocery Store,153.134,DRF27,OUT019
228,907,9.0,Low Fat,3,79.7644,6,2004,Small,Tier 2,Supermarket Type1,1649.8524,FDS49,OUT035
229,1137,12.857645184136183,Low Fat,3,181.9292,5,1985,Medium,Tier 3,Supermarket Type3,3101.2964,FDX25,OUT027
230,1536,12.857645184136183,Low Fat,9,165.6526,5,1985,Medium,Tier 3,Supermarket Type3,4769.1254,NCX42,OUT027
231,413,12.857645184136183,Regular,12,170.4764,5,1985,Medium,Tier 3,Supermarket Type3,3435.528,FDG33,OUT027
